"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15 авг. 2022 г.","61,2250","60,6050","61,6680","60,6033","","1,02%"
"12 авг. 2022 г.","60,6050","60,6700","61,0475","60,2505","","-0,11%"
"11 авг. 2022 г.","60,6700","60,6650","60,7805","60,5558","","0,01%"
"10 авг. 2022 г.","60,6650","60,1475","60,6874","60,1200","","0,86%"
"09 авг. 2022 г.","60,1475","60,7550","60,7625","60,0869","","-1,00%"
"08 авг. 2022 г.","60,7550","60,5800","60,9024","59,9250","","0,29%"
"05 авг. 2022 г.","60,5800","60,3500","60,6127","60,0944","","0,38%"
"04 авг. 2022 г.","60,3500","60,5800","60,8415","60,0577","","-0,38%"
"03 авг. 2022 г.","60,5800","60,2950","60,6841","59,8845","","0,47%"
"02 авг. 2022 г.","60,2950","60,1700","60,4703","59,5675","","0,21%"
"01 авг. 2022 г.","60,1700","61,6200","62,6401","59,4574","","-2,35%"
"29 июля 2022 г.","61,6200","60,8200","62,2426","60,5667","","1,32%"
"28 июля 2022 г.","60,8200","59,8800","61,2376","59,3097","","1,57%"
"27 июля 2022 г.","59,8800","60,5500","61,0269","59,1285","","-1,11%"
"26 июля 2022 г.","60,5500","58,1100","61,0275","58,0695","","4,20%"
"25 июля 2022 г.","58,1100","57,2900","58,2065","57,1064","","1,43%"
"22 июля 2022 г.","57,2900","56,6475","58,6150","56,4675","","1,13%"
"21 июля 2022 г.","56,6475","55,0200","58,7705","54,7700","","2,96%"
"20 июля 2022 г.","55,0200","55,4525","55,4525","54,5875","","-0,78%"
"19 июля 2022 г.","55,4525","56,3400","56,3866","54,8736","","-1,58%"
"18 июля 2022 г.","56,3400","57,1650","57,1778","56,2582","","-1,44%"
"15 июля 2022 г.","57,1650","58,3000","58,9198","56,7484","","-1,95%"
"14 июля 2022 г.","58,3000","58,2700","58,5987","57,7610","","0,05%"
"13 июля 2022 г.","58,2700","58,9400","59,1300","57,9387","","-1,14%"
"12 июля 2022 г.","58,9400","58,9000","59,4844","57,2149","","0,07%"
"11 июля 2022 г.","58,9000","60,9200","61,8074","58,7975","","-3,32%"
"08 июля 2022 г.","60,9200","61,9500","61,9600","60,8643","","-1,66%"
"07 июля 2022 г.","61,9500","63,3500","64,3475","61,6322","","-2,21%"
"06 июля 2022 г.","63,3500","61,1500","64,5988","61,1500","","3,60%"
"05 июля 2022 г.","61,1500","55,2400","62,2557","55,2400","","10,70%"
"04 июля 2022 г.","55,2400","54,5000","56,4654","54,5000","","1,36%"
"01 июля 2022 г.","54,5000","51,4500","55,8160","51,3998","","5,93%"
"30 июня 2022 г.","51,4500","53,2375","53,4526","51,2728","","-3,36%"
"29 июня 2022 г.","53,2375","51,8000","53,3200","50,1006","","2,78%"
"28 июня 2022 г.","51,8000","53,3850","53,4047","51,6521","","-2,97%"
"27 июня 2022 г.","53,3850","53,4000","54,3906","53,0883","","-0,03%"
"24 июня 2022 г.","53,4000","53,4650","53,7326","53,1045","","-0,12%"
"23 июня 2022 г.","53,4650","53,1500","53,8338","52,9124","","0,59%"
"22 июня 2022 г.","53,1500","53,7750","53,7869","52,8660","","-1,16%"
"21 июня 2022 г.","53,7750","55,6300","55,8200","53,7750","","-3,33%"
"20 июня 2022 г.","55,6300","56,4100","56,8177","55,4836","","-1,38%"
"17 июня 2022 г.","56,4100","56,5000","57,0300","56,1600","","-0,16%"
"16 июня 2022 г.","56,5000","56,9600","57,2116","56,4495","","-0,81%"
"15 июня 2022 г.","56,9600","56,6000","57,1675","56,3803","","0,64%"
"14 июня 2022 г.","56,6000","56,8000","58,2705","55,7575","","-0,35%"
"10 июня 2022 г.","56,8000","59,3500","59,5083","56,2981","","-4,30%"
"09 июня 2022 г.","59,3500","59,4000","59,7349","57,4360","","-0,08%"
"08 июня 2022 г.","59,4000","61,0425","61,0611","59,0738","","-2,69%"
"07 июня 2022 г.","61,0425","61,0175","61,4900","60,4127","","0,04%"
"06 июня 2022 г.","61,0175","60,9500","61,8650","60,5390","","0,11%"
"03 июня 2022 г.","60,9500","61,6500","62,4923","60,3200","","-1,14%"
"02 июня 2022 г.","61,6500","61,2800","61,9080","60,9310","","0,60%"
"01 июня 2022 г.","61,2800","61,5000","62,1038","61,0503","","-0,36%"
"31 мая 2022 г.","61,5000","62,2500","63,3017","60,5851","","-1,20%"
"30 мая 2022 г.","62,2500","66,7000","66,7132","61,0948","","-6,67%"
"27 мая 2022 г.","66,7000","65,2600","67,4457","64,9001","","2,21%"
"26 мая 2022 г.","65,2600","59,3300","65,6223","59,3300","","9,99%"
"25 мая 2022 г.","59,3300","56,8000","60,0026","55,8383","","4,45%"
"24 мая 2022 г.","56,8000","57,8675","57,8675","56,2853","","-1,84%"
"23 мая 2022 г.","57,8675","60,2325","60,2827","57,2048","","-3,93%"
"20 мая 2022 г.","60,2325","61,9050","61,9050","57,1250","","-2,70%"
"19 мая 2022 г.","61,9050","63,4450","63,6000","61,5747","","-2,43%"
"18 мая 2022 г.","63,4450","63,6000","64,0300","63,0010","","-0,24%"
"17 мая 2022 г.","63,6000","63,4000","63,9696","63,1746","","0,32%"
"16 мая 2022 г.","63,4000","64,5450","64,5450","62,7741","","-1,77%"
"13 мая 2022 г.","64,5450","63,3000","65,4048","62,7525","","1,97%"
"12 мая 2022 г.","63,3000","67,2000","67,3975","63,2048","","-5,80%"
"11 мая 2022 г.","67,2000","69,4025","70,2000","66,5280","","-3,17%"
"09 мая 2022 г.","69,4025","69,4025","69,4025","69,4025","","0,00%"
"06 мая 2022 г.","69,4025","67,0000","70,1875","66,0889","","3,59%"
"05 мая 2022 г.","67,0000","66,3000","67,6598","66,0101","","1,06%"
"04 мая 2022 г.","66,3000","70,9600","70,9600","66,3000","","-6,57%"
"03 мая 2022 г.","70,9600","70,9600","70,9600","70,9600","","0,00%"
"29 апр. 2022 г.","70,9600","72,0800","72,3403","70,3221","","-1,55%"
"28 апр. 2022 г.","72,0800","72,7800","72,7800","71,7339","","-0,96%"
"27 апр. 2022 г.","72,7800","73,5250","73,5250","72,5362","","-1,01%"
"26 апр. 2022 г.","73,5250","73,1250","73,5250","72,2853","","0,55%"
"25 апр. 2022 г.","73,1250","75,4500","75,4508","72,9369","","-3,08%"
"22 апр. 2022 г.","75,4500","74,7850","75,8633","72,7221","","0,89%"
"21 апр. 2022 г.","74,7850","76,4125","76,6139","73,3933","","-2,13%"
"20 апр. 2022 г.","76,4125","78,5150","78,5347","74,7780","","-2,68%"
"19 апр. 2022 г.","78,5150","79,7500","79,7500","78,0211","","-1,55%"
"18 апр. 2022 г.","79,7500","79,9950","80,3522","78,7800","","-0,31%"
"15 апр. 2022 г.","79,9950","80,8975","80,8991","79,2471","","-1,12%"
